Unnamed: 0,车站代码,地址,城市,省份,坐标（高德GCJ-02坐标系）
会同,VTQ,湖南省怀化市会同县会同火车站,怀化市,湖南省,"109.731776,26.881721"
海坨子,HZT,吉林省白城市大安市海坨乡,白城市,吉林省,"123.781418,45.196907"
黑旺,HWK,广西壮族自治区河池市都安瑶族自治县黑旺,河池市,广西壮族自治区,"108.104263,24.407358"
海湾,RWH,四川省凉山彝族自治州雷波县海湾乡,凉山彝族自治州,四川省,"103.580772,28.299885"
红星,VXB,黑龙江省伊春市红星区红星火车站,伊春市,黑龙江省,"129.385465,48.235962"
徽县,HYY,甘肃省陇南市徽县徽县火车站,陇南市,甘肃省,"106.201150,33.700680"
红兴隆,VHB,,,,
换新天,VTB,江苏省扬州市宝应县换新,扬州市,江苏省,"119.375748,33.092003"
红岘台,HTJ,甘肃省白银市白银区红岘,白银市,甘肃省,"104.168221,36.512104"
红彦,VIX,内蒙古自治区呼伦贝尔市莫力达瓦达斡尔族自治旗红彦镇,呼伦贝尔市,内蒙古自治区,"124.980225,49.509686"
海晏,HFO,,,,
合阳,HAY,,,,
衡阳东,HVQ,湖南省衡阳市,衡阳市,湖南省,"112.571997,26.893230"
华蓥,HUW,四川省广安市华蓥市华蓥火车站,广安市,四川省,"106.781262,30.362909"
汉阴,HQY,陕西省安康市汉阴县汉阴火车站,安康市,陕西省,"108.506363,32.877154"
黄羊滩,HGJ,甘肃省武威市凉州区黄羊镇,武威市,甘肃省,"102.851082,37.673000"
汉源,WHW,四川省雅安市汉源县汉源火车站,雅安市,四川省,"102.905757,29.232608"
河源,VIQ,广东省河源市源城区河源火车站,河源市,广东省,"114.716470,23.762404"
花园,HUN,安徽省六安市霍邱县花园镇,六安市,安徽省,"116.405029,32.070904"
湟源,HNO,青海省西宁市城东区湟源火车站,西宁市,青海省,"101.822560,36.610362"
黄羊镇,HYJ,甘肃省武威市凉州区黄羊镇,武威市,甘肃省,"102.851082,37.673000"
湖州,VZH,浙江省湖州市吴兴区湖州火车站,湖州市,浙江省,"120.023695,30.862753"
化州,HZZ,广东省茂名市化州市化州站,茂名市,广东省,"110.651886,21.653226"
黄州,VON,湖北省黄冈市黄州区黄州火车站,黄冈市,湖北省,"115.009805,30.580764"
霍州,HZV,,,,
惠州西,VXQ,广东省惠州市惠城区西火车站,惠州市,广东省,"114.362685,23.091768"
巨宝,JRT,黑龙江省齐齐哈尔市甘南县巨宝镇,齐齐哈尔市,黑龙江省,"124.198677,47.898888"
靖边,JIY,,,,
金宝屯,JBD,内蒙古自治区通辽市科尔沁左翼后旗金宝屯镇,通辽市,内蒙古自治区,"123.550453,43.376221"
晋城北,JEF,山西省晋城市泽州县晋城北火车站,晋城市,山西省,"112.904689,35.509079"
金昌,JCJ,甘肃省金昌市永昌县金昌火车站,金昌市,甘肃省,"102.063135,38.371126"
鄄城,JCK,,,,
交城,JNV,山西省吕梁市交城县交城火车站,吕梁市,山西省,"112.195093,37.520928"
建昌,JFD,辽宁省葫芦岛市建昌县建昌火车站,葫芦岛市,辽宁省,"119.822790,40.806286"
峻德,JDB,黑龙江省鹤岗市东山区峻德,鹤岗市,黑龙江省,"130.292664,47.197075"
井店,JFP,河北省邯郸市涉县井店镇,邯郸市,河北省,"113.734009,36.611660"
鸡东,JOB,黑龙江省鸡西市鸡东县鸡东火车站,鸡西市,黑龙江省,"131.151501,45.253174"
江都,UDH,江苏省扬州市江都区江都火车站,扬州市,江苏省,"119.578563,32.458643"
鸡冠山,JST,,,,
金沟屯,VGP,河北省承德市滦平县金沟屯镇,承德市,河北省,"117.506241,41.050812"
静海,JHP,天津市静海区静海火车站,天津市,天津市,"116.954840,38.934450"
金河,JHX,内蒙古自治区呼和浩特市赛罕区金河镇,呼和浩特市,内蒙古自治区,"111.733086,40.758823"
锦河,JHB,黑龙江省哈尔滨市尚志市锦河村,哈尔滨市,黑龙江省,"128.657730,44.925900"
精河,JHR,新疆维吾尔自治区博尔塔拉蒙古自治州精河县精河火车站,博尔塔拉蒙古自治州,新疆维吾尔自治区,"83.025127,44.636276"
精河南,JIR,新疆维吾尔自治区博尔塔拉蒙古自治州精河县南火车站,博尔塔拉蒙古自治州,新疆维吾尔自治区,"82.921410,44.605781"
江华,JHZ,湖南省永州市江华瑶族自治县江华火车站,永州市,湖南省,"111.556208,25.179642"
建湖,AJH,江苏省盐城市建湖县建湖火车站,盐城市,江苏省,"119.798340,33.504988"
纪家沟,VJD,吉林省长春市纪家镇,长春市,吉林省,"125.650757,44.264103"
晋江,JJS,福建省泉州市晋江市晋江火车站,泉州市,福建省,"118.459326,24.794297"
锦界,JEY,陕西省榆林市神木县锦界镇,榆林市,陕西省,"110.184464,38.757294"
姜家,JJB,浙江省杭州市临安市姜家,杭州市,浙江省,"119.747765,30.316423"
